,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
19,0,16,0,0,0,0,1,1,0,4,0,0,6,1,0,1,0,11,13,26,0,0,0,0,2,1,4,12,4,1,0,0,3,14,0,0,7,0,0,0,0,2,0,0,9,19,0,14,3,1,0,0,2,1,10,13,22,5,6,0,2,0,0,0,1,1,3,0,6,0,0,6,4,2,0,0,0,16,13
20,0,0,0,0,0,7,0,0,0,0,2,7,0,0,1,0,0,0,0,0,71,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,21,7,0,2,0,3,4,6,0,0
21,1,0,1,0,0,53,0,0,0,0,4,11,1,0,1,0,0,0,1,0,35,114,0,0,0,3,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,42,4,0,1,0,2,9,25,24,2,0,0,12,18,8,0,0
22,2,0,0,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,1,0,2,0,0,0,0,0,0,4,23,14,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,27,0,0,0,32,0,3,6,1,0,0,0,0,0,0,0,0,0,2,0,0,0,30,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0,1,0,0,0,1,0,0,0,5,44,4,26,1,0,2,1,0,1,2,12,0,0,17,2,1,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,6,0,1,0,0,13,0,4,0,0,0,1,0,0,0,1,1,0,1,36,32,38,5,2,1,7,8,12,1,1,0,1,0,0,0,0,15,10,14,2,0,0,0,4,0,0,0,0,0,11,4,0,1,3,0,1,0,12,7,9,2,0,8,10,1,2,9,3,10,0,0,0,0,1
25,0,0,0,0,0,6,0,0,0,0,10,0,7,0,2,0,0,1,3,5,1,1,0,0,31,44,28,9,0,3,3,9,5,1,1,1,0,0,0,0,0,15,8,9,3,1,0,0,0,0,0,0,0,2,24,11,2,1,2,0,14,1,8,4,3,3,1,4,9,1,5,28,17,8,0,0,0,0,1
26,2,0,0,0,0,3,0,0,0,0,3,0,4,0,1,0,0,0,1,2,0,1,0,0,33,18,48,5,6,0,10,5,13,0,0,0,0,0,0,0,0,3,8,17,8,1,0,0,0,0,0,0,0,0,11,7,3,1,3,0,0,0,1,2,0,3,0,4,14,0,0,11,2,2,0,0,0,2,0
27,2,0,0,0,0,1,0,0,0,0,13,1,1,2,8,4,0,1,15,26,1,1,0,1,3,7,8,69,16,30,1,3,1,7,1,0,0,0,0,0,0,3,2,7,1,1,3,2,4,3,0,0,2,2,5,15,16,8,22,6,27,9,1,2,7,28,12,1,0,0,7,21,29,7,0,0,2,0,0
28,4,0,0,0,0,0,0,1,0,0,5,0,1,0,1,3,0,0,2,5,0,0,0,1,2,2,0,12,22,9,2,0,0,6,1,0,2,0,0,0,6,0,1,0,4,0,0,1,1,0,0,10,8,13,7,5,17,15,12,3,4,4,1,1,13,9,12,1,0,0,0,16,17,10,1,0,0,0,0
29,3,0,0,0,0,0,0,0,0,0,5,3,1,9,24,10,5,0,8,2,1,0,1,0,1,1,0,21,1,36,1,0,0,25,6,0,1,0,0,0,0,1,0,0,0,0,4,0,4,5,0,0,4,0,1,17,11,0,4,14,17,2,1,0,7,4,5,0,0,0,1,9,10,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,5,11,0,1,0,37,31,20,0,1,0,4,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,16,23,0,0,6,1,0,0,0,0,0,0
31,0,0,0,0,0,6,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,8,0,0,10,8,6,2,0,0,28,122,88,0,0,0,0,0,0,0,0,12,1,25,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,1,0,0,0,73,32,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,5,8,22,0,0,0,13,80,160,0,0,1,0,0,0,0,0,10,1,14,1,0,0,0,0,0,0,0,0,0,7,2,0,0,1,0,0,0,7,3,1,0,0,29,27,0,0,3,2,0,0,0,0,1,1
33,1,0,0,0,0,0,0,3,0,0,3,1,0,1,37,5,10,0,2,14,0,0,0,0,0,0,0,9,2,30,0,0,0,56,40,0,0,0,0,0,0,0,0,0,0,1,25,12,26,15,12,1,5,1,1,1,0,16,4,24,6,16,0,0,2,5,1,0,0,0,0,2,12,2,0,0,0,0,0
