estacion,patinetes_iniciales,slots,patinetes_finales
0,25,25,11
1,7,14,2
2,13,13,4
3,12,12,10
4,5,12,11
5,17,17,6
6,7,15,8
7,1,14,7
8,13,13,8
9,6,16,11
10,14,14,4
11,13,13,1
12,4,5,3
13,5,9,9
14,1,10,10
15,1,8,5
16,7,7,2
17,9,9,4
18,12,12,2
19,1,20,18
20,3,9,1
21,19,19,2
22,11,11,1
23,3,5,5
24,15,30,20
25,1,21,19
26,3,10,2
27,4,13,2
28,1,37,27
29,10,14,14
30,5,15,12
31,1,10,7
32,17,17,2
33,6,24,24
34,2,24,22
35,8,8,3
36,32,32,8
37,12,12,6
38,6,22,22
39,6,6,3
