,Unnamed: 0,Hora,estacion,produccion_media_kWh,produccion_ajustada
197,197,4,37,0.0,0.0
198,198,4,38,0.0,0.0
199,199,4,39,0.0,0.0
200,200,5,0,0.0,0.0
201,201,5,1,0.0,0.0
202,202,5,2,0.0,0.0
203,203,5,3,0.0,0.0
204,204,5,4,0.0,0.0
205,205,5,5,0.0,0.0
206,206,5,6,0.0,0.0
207,207,5,7,0.0,0.0
208,208,5,8,0.0,0.0
209,209,5,9,0.0,0.0
210,210,5,10,0.0,0.0
211,211,5,11,0.0,0.0
212,212,5,12,0.0,0.0
213,213,5,13,0.0,0.0
214,214,5,14,0.0,0.0
215,215,5,15,0.0,0.0
216,216,5,16,0.0,0.0
217,217,5,17,0.0,0.0
218,218,5,18,0.0,0.0
219,219,5,19,0.0,0.0
220,220,5,20,0.0,0.0
221,221,5,21,0.0,0.0
222,222,5,22,0.0,0.0
223,223,5,23,0.0,0.0
224,224,5,24,0.0,0.0
225,225,5,25,0.0,0.0
226,226,5,26,0.0,0.0
227,227,5,27,0.0,0.0
228,228,5,28,0.0,0.0
229,229,5,29,0.0,0.0
230,230,5,30,0.0,0.0
231,231,5,31,0.0,0.0
232,232,5,32,0.0,0.0
233,233,5,33,0.0,0.0
234,234,5,34,0.0,0.0
235,235,5,35,0.0,0.0
236,236,5,36,0.0,0.0
237,237,5,37,0.0,0.0
238,238,5,38,0.0,0.0
239,239,5,39,0.0,0.0
240,240,6,0,0.0,0.0
241,241,6,1,0.0,0.0
242,242,6,2,0.0,0.0
243,243,6,3,0.0,0.0
244,244,6,4,0.0,0.0
245,245,6,5,0.0,0.0
246,246,6,6,0.0,0.0
247,247,6,7,0.0,0.0
248,248,6,8,0.0,0.0
249,249,6,9,0.0,0.0
250,250,6,10,0.0,0.0
251,251,6,11,0.0,0.0
252,252,6,12,0.0,0.0
253,253,6,13,0.0,0.0
254,254,6,14,0.0,0.0
255,255,6,15,0.0,0.0
256,256,6,16,0.0,0.0
257,257,6,17,0.0,0.0
258,258,6,18,0.0,0.0
259,259,6,19,0.0,0.0
260,260,6,20,0.0,0.0
261,261,6,21,0.0,0.0
262,262,6,22,0.0,0.0
263,263,6,23,0.0,0.0
264,264,6,24,0.0,0.0
265,265,6,25,0.0,0.0
266,266,6,26,0.0,0.0
267,267,6,27,0.0,0.0
268,268,6,28,0.0,0.0
269,269,6,29,0.0,0.0
270,270,6,30,0.0,0.0
271,271,6,31,0.0,0.0
272,272,6,32,0.0,0.0
273,273,6,33,0.0,0.0
274,274,6,34,0.0,0.0
275,275,6,35,0.0,0.0
276,276,6,36,0.0,0.0
277,277,6,37,0.0,0.0
278,278,6,38,0.0,0.0
279,279,6,39,0.0,0.0
280,280,7,0,0.0136163500534285,0.002594598249507836
281,281,7,1,0.0118403043942857,0.0022561723908763884
282,282,7,2,0.0088802282957142,0.0016921292931572768
283,283,7,3,0.0094722435154285,0.001804937912701099
284,284,7,4,0.0065121674168571,0.0012408948149820068
285,285,7,5,0.016576426152,0.0031586413472269475
286,286,7,6,0.016576426152,0.0031586413472269475
287,287,7,7,0.0106562739548571,0.0020305551517887438
288,288,7,8,0.0142083652731428,0.002707406869051658
289,289,7,9,0.008288213076,0.0015793206736134738
290,290,7,10,0.0071041826365714,0.001353703434525829
291,291,7,11,0.0071041826365714,0.001353703434525829
292,292,7,12,0.0053281369774285,0.0010152775758943623
293,293,7,13,0.0053281369774285,0.0010152775758943623
294,294,7,14,0.004144106538,0.0007896603368067369
295,295,7,15,0.0071041826365714,0.001353703434525829
296,296,7,16,0.008288213076,0.0015793206736134738
297,297,7,17,0.0076961978562857,0.0014665120540696512
298,298,7,18,0.0153923957125714,0.0029330241081393024
299,299,7,19,0.0059201521971428,0.0011280861954381847
300,300,7,20,0.008288213076,0.0015793206736134738
301,301,7,21,0.0106562739548571,0.0020305551517887438
302,302,7,22,0.0059201521971428,0.0011280861954381847
303,303,7,23,0.0059201521971428,0.0011280861954381847
304,304,7,24,0.0148003804928571,0.0028202154885954805
305,305,7,25,0.0065121674168571,0.0012408948149820068
306,306,7,26,0.0088802282957142,0.0016921292931572768
307,307,7,27,0.012432319614,0.0023689810104202107
308,308,7,28,0.0142083652731428,0.002707406869051658
309,309,7,29,0.0136163500534285,0.002594598249507836
310,310,7,30,0.0136163500534285,0.002594598249507836
311,311,7,31,0.0065121674168571,0.0012408948149820068
312,312,7,32,0.0118403043942857,0.0022561723908763884
313,313,7,33,0.012432319614,0.0023689810104202107
314,314,7,34,0.0094722435154285,0.001804937912701099
315,315,7,35,0.008288213076,0.0015793206736134738
316,316,7,36,0.0171684413717142,0.0032714499667707508
317,317,7,37,0.0076961978562857,0.0014665120540696512
318,318,7,38,0.0088802282957142,0.0016921292931572768
319,319,7,39,0.0065121674168571,0.0012408948149820068
320,320,8,0,0.26195138541,0.0499148893333427
321,321,8,1,0.2277838134,0.04340425159421104
322,322,8,2,0.17083786005,0.032553188695658285
323,323,8,3,0.18222705072,0.03472340127536883
324,324,8,4,0.12528109737,0.023872338376816075
325,325,8,5,0.31889733876,0.06076595223189545
326,326,8,6,0.31889733876,0.06076595223189545
327,327,8,7,0.20500543206,0.039063826434789936
328,328,8,8,0.27334057608,0.052085101913053246
329,329,8,9,0.15944866938,0.030382976115947726
330,330,8,10,0.13667028804,0.026042550956526623
331,331,8,11,0.13667028804,0.026042550956526623
332,332,8,12,0.10250271603,0.019531913217394968
333,333,8,13,0.10250271603,0.019531913217394968
334,334,8,14,0.07972433469,0.015191488057973863
335,335,8,15,0.13667028804,0.026042550956526623
336,336,8,16,0.15944866938,0.030382976115947726
337,337,8,17,0.14805947871,0.028212763536237175
338,338,8,18,0.29611895742,0.05642552707247435
339,339,8,19,0.1138919067,0.02170212579710552
340,340,8,20,0.15944866938,0.030382976115947726
341,341,8,21,0.20500543206,0.039063826434789936
342,342,8,22,0.1138919067,0.02170212579710552
343,343,8,23,0.1138919067,0.02170212579710552
344,344,8,24,0.28472976675,0.0542553144927638
345,345,8,25,0.12528109737,0.023872338376816075
346,346,8,26,0.17083786005,0.032553188695658285
347,347,8,27,0.23917300407,0.04557446417392159
348,348,8,28,0.27334057608,0.052085101913053246
349,349,8,29,0.26195138541,0.0499148893333427
350,350,8,30,0.26195138541,0.0499148893333427
351,351,8,31,0.12528109737,0.023872338376816075
352,352,8,32,0.2277838134,0.04340425159421104
353,353,8,33,0.23917300407,0.04557446417392159
354,354,8,34,0.18222705072,0.03472340127536883
355,355,8,35,0.15944866938,0.030382976115947726
356,356,8,36,0.33028652943,0.06293616481160601
357,357,8,37,0.14805947871,0.028212763536237175
358,358,8,38,0.17083786005,0.032553188695658285
359,359,8,39,0.12528109737,0.023872338376816075
360,360,9,0,0.6493684397388572,0.12373728718936983
361,361,9,1,0.5646682084685716,0.10759764103423465
362,362,9,2,0.4235011563514286,0.08069823077567598
363,363,9,3,0.4517345667748572,0.08607811282738771
364,364,9,4,0.3105675146577143,0.059178702568829046
365,365,9,5,0.790535491856,0.15063669744792849
366,366,9,6,0.790535491856,0.15063669744792849
367,367,9,7,0.5082013876217143,0.09683787693081117
368,368,9,8,0.6776018501622857,0.12911716924108155
369,369,9,9,0.395267745928,0.07531834872396424
370,370,9,10,0.3388009250811428,0.06455858462054076
371,371,9,11,0.3388009250811428,0.06455858462054076
372,372,9,12,0.2541006938108571,0.04841893846540557
373,373,9,13,0.2541006938108571,0.04841893846540557
374,374,9,14,0.197633872964,0.03765917436198212
375,375,9,15,0.3388009250811428,0.06455858462054076
