Origen,Destino,Distancia_km,Desnivel,Consumo_Wh
2.0,37.0,2.0761999999999996,22.0,30.228699999999993
2.0,38.0,9.1737,34.0,127.24495
2.0,39.0,8.2394,20.0,113.2319
3.0,0.0,5.405600000000001,-1.0,72.87560000000002
3.0,1.0,4.9209,-35.0,62.93214999999999
3.0,2.0,9.428600000000001,-31.0,124.18610000000002
3.0,4.0,1.6362,17.0,23.788700000000002
3.0,5.0,6.5874,-15.0,87.42989999999999
3.0,6.0,4.5265,5.0,61.60775
3.0,7.0,8.653,27.0,119.5155
3.0,8.0,4.7406999999999995,9.0,64.89945
3.0,9.0,6.4044,-26.0,83.85940000000001
3.0,10.0,6.5054,-26.0,85.22290000000001
3.0,11.0,12.2545,-11.0,164.33575000000002
3.0,12.0,12.234399999999999,-14.0,163.7644
3.0,13.0,13.2377,-11.0,177.60895000000002
3.0,14.0,13.7535,-19.0,183.77225
3.0,15.0,2.3459,-3.0,31.369649999999996
3.0,16.0,1.6455,-2.0,22.01425
3.0,17.0,8.9748,-25.0,118.6598
3.0,18.0,7.6678999999999995,-25.0,101.01665
3.0,19.0,4.717,-9.0,62.7795
3.0,20.0,2.9617,22.0,42.182950000000005
3.0,21.0,6.3855,-26.0,83.60425000000001
3.0,22.0,8.2675,-28.0,108.81125
3.0,23.0,8.6256,11.0,117.5456
3.0,24.0,6.1261,10.0,83.70235
3.0,25.0,1.8229000000000002,14.0,26.00915
3.0,26.0,2.6155,21.0,37.40925
3.0,27.0,5.7054,-7.0,76.3229
3.0,28.0,4.911899999999999,-11.0,65.21065
3.0,29.0,4.0945,3.0,55.57575
3.0,30.0,6.663399999999999,-27.0,87.25589999999998
3.0,31.0,5.7603,-10.0,76.76405
3.0,32.0,3.4499,17.0,48.27365
3.0,33.0,9.7958,18.0,134.04330000000002
3.0,34.0,7.7761000000000005,-24.0,102.57735
3.0,35.0,8.3258,-9.0,111.49829999999999
3.0,36.0,5.229,-12.0,69.3915
3.0,37.0,10.483,-9.0,140.6205
3.0,38.0,7.8741,3.0,106.60035
3.0,39.0,8.1055,-11.0,108.32424999999999
4.0,0.0,4.3056,-18.0,56.3256
4.0,1.0,4.8546000000000005,-52.0,60.33710000000001
4.0,2.0,8.6844,-48.0,112.4394
4.0,3.0,1.8965,-17.0,23.90275
4.0,5.0,6.0469,-32.0,78.43315
4.0,6.0,3.4445,-12.0,45.30075
4.0,7.0,8.1125,10.0,110.51875000000001
4.0,8.0,3.8966,-8.0,51.8041
4.0,9.0,6.338100000000001,-43.0,81.26435000000001
4.0,10.0,6.751399999999999,-43.0,86.84389999999999
4.0,11.0,11.6549,-28.0,154.54115
4.0,12.0,11.6349,-31.0,153.97115
4.0,13.0,11.8788,-28.0,157.5638
4.0,14.0,13.154,-36.0,173.979
4.0,15.0,4.1631,-20.0,54.20185
4.0,16.0,3.4628,-19.0,44.8478
4.0,17.0,8.375200000000001,-42.0,108.86520000000002
4.0,18.0,7.0684,-42.0,91.2234
4.0,19.0,5.1967,-26.0,67.55545000000001
4.0,20.0,3.2076,5.0,43.8026
4.0,21.0,6.3191999999999995,-43.0,81.00919999999999
4.0,22.0,7.7399,-45.0,99.98864999999999
4.0,23.0,8.2942,-6.0,111.3717
4.0,24.0,5.282,-7.0,70.607
4.0,25.0,2.2422,-3.0,29.9697
4.0,26.0,2.4198000000000004,4.0,33.0673
4.0,27.0,5.164899999999999,-24.0,67.32614999999998
4.0,28.0,4.8456,-28.0,62.6156
4.0,29.0,3.2504,-14.0,42.4804
4.0,30.0,6.063899999999999,-44.0,77.46264999999998
4.0,31.0,5.160699999999999,-27.0,66.96945
4.0,32.0,2.5282,0.0,34.1307
4.0,33.0,9.2553,1.0,125.04655
4.0,34.0,6.6761,-41.0,86.02735
4.0,35.0,7.2258000000000004,-26.0,94.94830000000002
4.0,36.0,4.6885,-29.0,60.39475000000001
4.0,37.0,9.383,-26.0,124.0705
4.0,38.0,7.8078,-14.0,104.0053
4.0,39.0,7.565,-28.0,99.32750000000001
5.0,0.0,5.0996999999999995,14.0,70.24595
5.0,1.0,4.111800000000001,-20.0,53.50930000000001
5.0,2.0,4.6485,-16.0,61.15475
5.0,3.0,6.8149,15.0,93.50115
5.0,4.0,6.0664,32.0,85.0964
5.0,6.0,4.0617,20.0,56.832950000000004
5.0,7.0,1.9928,42.0,31.1028
5.0,8.0,6.482,24.0,89.90700000000001
5.0,9.0,5.3793999999999995,-11.0,71.5219
5.0,10.0,6.9697,-11.0,92.99095
5.0,11.0,7.2297,4.0,98.00095
5.0,12.0,7.2097,1.0,97.43095
5.0,13.0,8.213,4.0,111.2755
5.0,14.0,8.7288,-4.0,117.43879999999999
5.0,15.0,8.5253,12.0,116.29155
5.0,16.0,7.8004,13.0,106.60539999999999
5.0,17.0,3.1779,-10.0,41.901650000000004
5.0,18.0,2.0528000000000004,-10.0,26.712800000000005
5.0,19.0,6.4805,6.0,88.08675
5.0,20.0,6.6629,37.0,93.64914999999999
5.0,21.0,4.8057,-11.0,63.77694999999999
5.0,22.0,8.1606,-13.0,108.86810000000001
5.0,23.0,9.038799999999998,26.0,124.62379999999997
5.0,24.0,6.4703,25.0,89.84905
5.0,25.0,6.1183000000000005,29.0,85.49705000000002
5.0,26.0,4.9064,36.0,69.83639999999998
5.0,27.0,2.3962,8.0,33.1487
5.0,28.0,5.4153,4.0,73.50655
5.0,29.0,5.3486,18.0,74.0061
5.0,30.0,2.6181,-12.0,34.144349999999996
5.0,31.0,3.0069,5.0,41.09315
5.0,32.0,4.7783,32.0,67.70705
5.0,33.0,3.6434,33.0,52.4859
5.0,34.0,4.3938999999999995,-9.0,58.417649999999995
5.0,35.0,5.8077,6.0,79.00394999999999
5.0,36.0,1.6284,3.0,22.2834
5.0,37.0,6.3585,6.0,86.43975
5.0,38.0,6.3999,18.0,88.19864999999999
5.0,39.0,4.551399999999999,4.0,61.84389999999999
6.0,0.0,3.1575,-6.0,42.026250000000005
6.0,1.0,4.945399999999999,-40.0,62.76289999999999
6.0,2.0,7.0471,-36.0,91.53585000000001
6.0,3.0,4.5695,-5.0,61.18825
6.0,4.0,3.4973,12.0,48.41355
6.0,5.0,5.2922,-20.0,69.4447
6.0,7.0,7.309399999999999,22.0,100.87689999999999
6.0,8.0,3.307,4.0,45.0445
6.0,9.0,6.4289,-31.0,83.69015
6.0,10.0,7.6907,-31.0,100.72445
6.0,11.0,9.873,-16.0,131.6855
6.0,12.0,9.8529,-19.0,131.11415
6.0,13.0,10.288,-16.0,137.288
6.0,14.0,11.372,-24.0,151.12199999999999
6.0,15.0,6.764600000000001,-8.0,90.52210000000001
6.0,16.0,5.7791999999999994,-7.0,77.3192
6.0,17.0,6.5933,-30.0,86.00955
6.0,18.0,5.2865,-30.0,68.36775
6.0,19.0,5.8178,-14.0,77.1403
6.0,20.0,4.823,17.0,66.8105
6.0,21.0,6.41,-31.0,83.435
6.0,22.0,8.739600000000001,-33.0,114.68460000000002
6.0,23.0,9.2335,6.0,125.25224999999999
6.0,24.0,4.223,5.0,57.5105
6.0,25.0,4.1758999999999995,9.0,57.274649999999994
6.0,26.0,3.0665,16.0,42.99775
6.0,27.0,4.374,-12.0,57.84899999999999
6.0,28.0,4.1486,-16.0,54.4061
6.0,29.0,2.0025,-2.0,26.83375
6.0,30.0,4.281899999999999,-32.0,54.60564999999999
6.0,31.0,3.3788,-15.0,44.1138
6.0,32.0,1.8625999999999998,12.0,26.345099999999995
6.0,33.0,7.337,13.0,100.34949999999999
6.0,34.0,5.0853,-29.0,65.75155
6.0,35.0,5.635,-14.0,74.67249999999999
6.0,36.0,3.8975999999999997,-17.0,50.91759999999999
6.0,37.0,7.7922,-14.0,103.79469999999999
6.0,38.0,7.8985,-2.0,106.42975
6.0,39.0,6.7741999999999996,-16.0,89.8517
7.0,0.0,5.7923,-28.0,75.39605
7.0,1.0,5.1609,-62.0,63.47215
7.0,2.0,4.3033,-58.0,52.29455
7.0,3.0,8.093399999999999,-27.0,106.56089999999999
7.0,4.0,7.3449,-10.0,98.15615
7.0,5.0,2.3327,-42.0,27.29145
7.0,6.0,5.340199999999999,-22.0,69.89269999999999
7.0,8.0,7.174600000000001,-18.0,95.05710000000002
7.0,9.0,6.6113,-53.0,83.95255
7.0,10.0,8.0188,-53.0,102.95380000000002
7.0,11.0,6.884600000000001,-38.0,89.14210000000001
7.0,12.0,6.8645,-41.0,88.57075
7.0,13.0,7.8678,-38.0,102.4153
7.0,14.0,8.3836,-46.0,108.5786
7.0,15.0,9.803799999999999,-30.0,129.35129999999998
7.0,16.0,9.078899999999999,-29.0,119.66514999999998
