estacion,patinetes_iniciales,slots,patinetes_finales
0,5,8,3
1,2,11,7
2,4,6,5
3,6,8,6
4,3,3,1
5,5,9,5
6,9,9,3
7,5,9,7
8,8,13,13
9,7,7,3
10,6,6,3
11,5,5,1
12,3,3,3
13,1,3,2
14,1,3,3
15,3,7,6
16,2,4,1
17,3,7,7
18,6,10,4
19,2,5,2
20,1,11,9
21,10,10,2
22,2,3,2
23,4,4,3
24,9,11,11
25,1,4,2
26,3,5,0
27,2,6,2
28,3,11,2
29,6,7,3
30,6,6,5
31,2,5,2
32,3,11,9
33,6,6,6
34,6,6,1
35,1,3,3
36,7,11,2
37,4,5,4
38,4,10,9
39,2,6,6
