estacion,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,36.42666666666667,17.68,0.0,0.0,0.0,1.77,0.0,23.169999999999998,15.828660714285714,17.350142857142856,17.251388888888886,20.8031914893617,18.75670588235294,25.349425287356322,25.622884615384613,20.66794117647059,24.197685950413224,22.954397163120568,26.896766917293235,28.500185185185185,23.42609090909091,25.493333333333336,29.665714285714284,38.14
1,0.0,21.42,0.0,0.0,0.0,42.666666666666664,12.24,43.632380952380956,33.19555555555556,50.82467741935484,28.739583333333332,33.39297297297297,36.69045454545455,30.53826923076923,32.65348837209302,36.89126760563381,36.026372549019605,35.34265957446809,40.05821052631579,40.88418181818182,31.016785714285714,37.39047619047619,30.446000000000005,33.95142857142857
2,69.8825,91.54,34.025,0.0,0.0,30.7,0.0,45.656363636363636,39.02125,26.61470588235294,31.641666666666666,27.996363636363636,30.747200000000003,26.386190476190478,31.490444444444442,32.42709090909091,34.215,31.512222222222224,31.221969696969698,32.85148148148148,27.032666666666668,24.345,24.74,23.90857142857143
3,48.055,0.0,0.0,0.0,3.63,0.0,9.16,25.95,42.697500000000005,17.014285714285712,22.849999999999998,17.78875,32.37625,25.06457142857143,32.503793103448274,31.78727272727273,37.29,30.520937500000002,30.792142857142856,23.174761904761905,26.501639344262294,29.572926829268294,30.397916666666664,29.34222222222222
4,0.0,0.0,0.0,0.0,0.0,20.57,39.82000000000001,31.68,30.98,26.732222222222223,36.0375,29.940000000000005,30.588823529411766,37.73352941176471,26.678,26.445333333333334,36.9425,30.411176470588234,48.04863636363636,43.01173913043478,31.148000000000003,33.977,24.82166666666667,0.0
5,26.7175,0.0,0.0,28.38,31.24,0.0,36.33,46.00043478260869,29.799999999999997,30.950731707317075,41.696000000000005,35.18655172413793,29.843392857142856,32.4056,32.73304347826087,31.472307692307695,24.195074626865672,31.89933333333333,32.3959793814433,31.501165048543687,27.861369863013696,27.08083333333333,24.302500000000002,20.615000000000002
6,70.72,54.074999999999996,0.0,0.0,0.0,0.0,19.205,56.964,39.48351851851852,40.17903225806452,37.56272727272727,32.39666666666667,31.022063492063495,44.17796610169491,34.42356164383562,35.727,37.103577235772356,36.771574074074074,33.913783783783785,37.868202247191014,34.83130434782609,35.775294117647064,34.362857142857145,24.78
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.996969696969696,18.973846153846154,14.6396,10.054242424242425,25.524814814814814,24.847142857142856,21.7556,23.521408450704225,23.80163043478261,25.201954022988506,29.767999999999997,26.624330708661418,25.908155339805823,22.834123711340204,16.2975,24.890000000000004,20.535
8,26.884999999999998,42.19,0.0,0.005,0.0,0.0,17.705,9.253333333333332,18.011333333333333,42.67057142857143,31.790666666666667,18.22741935483871,25.844038461538464,19.87875,24.93214285714286,25.31140350877193,28.72109090909091,31.382647058823533,31.382784810126584,27.12270588235294,29.183406593406595,24.93307692307692,46.57507462686567,23.580000000000002
9,33.825,0.0,0.0,0.0,0.0,20.85,20.85,21.854285714285716,22.70578947368421,21.020625,22.05857142857143,28.319999999999997,25.250454545454545,27.73071428571429,29.597692307692306,30.2772972972973,33.508108108108104,31.927692307692308,24.396216216216214,32.55410714285714,26.90838709677419,19.206666666666667,22.086153846153845,31.985
10,0.0,0.0,0.0,0.0,0.0,23.875,22.393333333333334,36.43066666666667,50.744,41.0,36.82214285714286,35.88333333333333,28.397142857142857,48.671875,44.536874999999995,41.83518518518518,39.041034482758626,37.67666666666666,42.241470588235295,47.137,33.344166666666666,34.614,30.604999999999997,0.0
11,14.094999999999999,0.0,0.0,0.0,0.0,0.0,0.0,19.723333333333333,12.612499999999999,13.685,11.047999999999998,8.94153846153846,24.06142857142857,10.451818181818181,12.765,14.965,21.69439024390244,28.191428571428574,29.051264367816092,27.73464285714286,21.93625,22.0,0.0,0.0
12,5.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.923,19.56,19.56,14.673333333333332,19.67,20.85181818181818,9.383076923076924,14.814,17.576153846153847,20.596875,18.839599999999997,16.616521739130434,17.305,46.345,0.0,0.0
13,31.58,0.0,0.0,0.0,23.45,0.0,0.0,2.165,16.538,13.247272727272728,30.6325,25.229999999999997,13.757142857142856,22.285555555555554,18.900000000000002,18.336363636363636,18.230909090909094,21.103684210526314,30.173333333333332,26.265454545454546,23.451249999999998,21.160666666666664,20.49,0.0
14,31.57,0.0,0.0,0.0,0.0,0.0,0.0,28.62,25.95375,27.697142857142858,30.366000000000003,25.55,19.32,24.67833333333333,28.560000000000002,20.736666666666668,28.06833333333333,25.392857142857142,31.57,21.218888888888888,21.205,31.57,31.57,31.57
15,17.36,0.0,0.0,0.0,0.0,0.0,0.0,38.59105263157895,20.445714285714285,9.656666666666666,19.32375,25.592142857142854,33.957,20.16,27.084,22.953125,20.09111111111111,34.8875,27.635365853658534,29.50916666666667,32.764375,26.008275862068967,25.448125,23.3375
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.792,23.624285714285715,23.864166666666666,23.45,28.803684210526313,26.640344827586205,26.306,18.535666666666668,20.682903225806452,19.395833333333332,25.472380952380952,21.86777777777778,26.865526315789474,19.427647058823528,20.619142857142858,16.71588235294118,11.726
17,0.0,0.0,8.35,0.71,0.0,86.01,34.18,7.5,23.240000000000002,27.135714285714283,20.080000000000002,29.979285714285716,28.291578947368418,31.27,24.953333333333333,31.21222222222222,28.255714285714287,30.723750000000003,36.311627906976746,32.445789473684215,28.860588235294117,49.61133333333334,32.5375,30.092000000000002
18,0.0,0.0,12.986666666666666,0.0,0.0,21.38,26.203333333333333,23.85166666666667,41.19105263157895,26.3004,23.657619047619047,34.31740740740741,24.934,26.986603773584903,27.644383561643835,28.212205882352944,27.128285714285713,28.09767676767677,31.839354838709678,27.39742857142857,26.228048780487804,23.478,30.40823529411765,10.159999999999998
19,11.2,0.0,0.0,0.0,0.0,0.0,12.43,54.811249999999994,40.66823529411765,35.45181818181818,28.4875,34.88466666666667,36.70916666666667,45.91625,29.21695652173913,42.71666666666667,36.771875,28.0935,41.73350000000001,37.00592592592592,24.560588235294116,45.06545454545455,36.99833333333333,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,55.31,29.648000000000003,33.94923076923077,42.2485,35.772666666666666,36.705,29.625625,27.316842105263156,48.794444444444444,34.338,30.301599999999997,41.17,35.006,31.95258064516129,25.180625,32.74583333333333,30.438,24.365000000000002
21,0.0,0.0,26.81,0.0,0.0,63.78,0.0,47.33142857142857,30.737777777777776,24.4825,32.13586206896552,24.2525,33.019444444444446,28.93714285714286,30.056500000000003,36.045500000000004,30.032352941176473,25.523030303030303,34.74464285714286,31.90719298245614,30.97846153846154,32.66125,31.642799999999998,26.648888888888887
22,0.0,7.55,7.9,0.0,7.7,0.0,0.0,37.57333333333333,56.585,36.09894736842105,28.74375,32.905,30.963157894736838,40.04260869565218,32.684375,39.47043478260869,34.16625,35.05416666666667,33.6862962962963,45.37828571428572,28.573333333333334,25.73428571428571,25.9,0.0
23,5.16,5.11,2.45,0.0,0.0,0.0,0.0,21.679999999999996,7.31,50.92125,42.0025,31.76,48.20625,47.46928571428571,53.88782608695652,34.28551724137931,34.93105263157895,21.185454545454547,34.17619047619048,34.9664,40.53526315789473,42.2725,8.01,49.068
24,7.655,0.0,0.01,0.0,0.0,0.0,14.82,12.297222222222222,14.457164179104478,15.247948717948717,16.21375,19.688271604938272,21.077045454545456,21.59922413793103,22.595128205128205,21.285819672131147,19.702925170068028,20.68453333333333,23.779276018099548,25.72733333333333,30.54635714285714,24.036853932584272,22.588387096774195,11.938333333333333
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.374444444444443,28.38,27.6769696969697,23.891176470588235,45.1972,38.486666666666665,29.25578947368421,27.524285714285718,29.712592592592593,28.681020408163267,29.319714285714287,28.557027027027026,35.81508474576271,27.502807017543862,27.139142857142858,24.845,3.9266666666666663
26,0.0,10.21,0.0,0.0,0.0,0.0,0.58,31.006666666666668,46.120535714285715,35.27157894736842,31.99947368421053,28.431904761904764,33.19564102564103,31.92774193548387,35.53193548387097,32.65,33.868928571428576,47.89954545454545,38.553823529411765,34.097027027027025,31.109583333333333,27.713125,11.392857142857142,0.0
27,0.0,41.22,0.0,0.0,0.0,0.0,19.99,25.48125,48.793076923076924,46.31782608695652,38.1128125,31.406206896551723,36.563,30.743050847457624,32.001525423728815,29.932033898305086,35.31236842105263,35.093529411764706,29.455681818181816,34.9306976744186,34.13952380952381,26.399375,58.8625,6.71
28,7.13,59.46,0.0,0.0,0.0,0.0,35.41636363636364,49.903,55.35268292682927,51.644800000000004,50.26353846153847,44.52081081081081,42.35252525252525,46.95758333333333,43.630833333333335,43.90865168539326,42.57967741935484,39.344752475247525,35.2915625,38.100181818181824,35.02829268292683,36.32041666666667,42.35857142857143,37.21
29,11.25,0.0,6.683333333333333,0.0,0.0,0.0,28.7,30.664130434782606,30.608235294117648,26.616981132075473,27.901000000000003,19.801875,21.125555555555554,23.58779661016949,29.113225806451613,29.885270270270272,33.97895348837209,32.00260869565217,26.871219512195122,25.070348837209306,27.951,25.64936507936508,26.801304347826086,39.251666666666665
30,24.13,0.0,0.0,0.0,0.0,0.0,0.0,20.743333333333336,17.988125,32.83,31.520000000000003,23.71382978723404,25.007285714285715,28.08140625,25.695454545454545,27.936323529411766,29.37272727272727,25.183090909090907,31.87593220338983,22.445333333333334,26.96,44.79975,41.160625,72.93
31,31.46,0.0,0.0,0.0,0.0,0.0,25.21,39.4625,14.635,32.74142857142857,33.719375,20.55578947368421,23.857599999999998,28.860689655172415,25.462903225806453,30.718048780487806,32.07512195121951,30.994545454545456,30.40529411764706,30.38372093023256,36.06230769230769,29.25,26.064444444444444,0.0
32,32.12,18.679999999999996,27.99,0.0,0.0,37.733333333333334,35.096000000000004,38.38375,28.589117647058824,31.213150684931506,33.07064516129032,26.4415,27.93307692307692,29.847454545454546,45.410810810810815,33.70545454545454,35.923972602739724,35.69931034482759,36.3606976744186,34.587820512820514,35.993947368421054,22.758275862068967,31.762,56.022499999999994
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.83388888888889,30.110666666666667,28.272444444444446,24.052142857142858,26.3048,26.382368421052632,32.69894736842105,29.63132075471698,35.6725806451613,27.31706666666667,39.740447761194034,31.453734939759034,41.629746835443036,34.08954545454545,34.46078947368421,28.53705882352941,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,8.88,18.56,17.729166666666668,31.776,34.92148148148148,14.078666666666667,20.718,32.34939393939394,32.99923076923077,33.05159420289855,36.3268253968254,32.49421052631579,32.90317073170732,29.80814814814815,31.02294117647059,31.51777777777778,30.18,41.53
35,3.88,0.0,0.0,0.0,0.0,0.0,0.0,30.03,23.119999999999997,26.726666666666667,24.24125,37.113684210526316,32.946,39.463,32.96296296296296,27.652758620689653,35.16058823529412,36.49739130434782,26.608620689655172,27.891379310344828,33.62916666666667,38.608333333333334,26.93777777777778,15.27
36,0.0,0.0,0.0,0.0,0.0,32.24,30.825000000000003,48.33555555555555,35.57727272727273,43.55514851485148,32.82042553191489,33.02720930232558,34.41125,31.5744,33.02193548387097,33.53597826086956,32.37721518987342,33.67442105263158,30.89296296296296,34.69277777777778,29.975263157894734,39.15761904761905,19.422727272727272,42.903333333333336
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2775,20.20375,36.473333333333336,15.643529411764705,21.253888888888888,19.81722222222222,28.586799999999997,25.452820512820512,29.633278688524587,30.546915887850467,32.31062937062937,30.58794701986755,35.76078260869565,31.0588,27.936285714285713,23.81125,13.549999999999999
38,0.0,0.0,0.0,0.0,0.0,62.53,0.0,51.1,20.4925,14.780000000000001,44.7,46.83444444444444,36.653076923076924,42.05238095238095,35.29,41.09705882352941,27.866904761904763,37.532,46.294035087719294,50.2568085106383,33.54692307692307,43.69148148148148,33.59222222222222,63.22
39,10.59,61.84,0.0,0.0,0.0,0.0,28.275000000000002,6.38,28.886000000000003,51.21857142857142,17.975,48.41538461538461,53.88153846153846,44.55352941176471,37.7045,26.18642857142857,47.64111111111111,40.7116,52.544210526315794,52.90930232558139,42.24454545454545,33.88909090909091,49.225,19.796666666666667
