Cluster_ID,Centroide_Lat,Centroide_Lon,Distancia_Media_km,Num_Puntos,Pct_Origen,Pct_Destino,Altitud
0,41.90497866046512,12.511413041860465,0.4832892361640243,432,47.91666666666667,52.083333333333336,62.0
1,41.92598660169492,12.46682907118644,0.4471575857097417,591,52.45346869712352,47.54653130287648,19.0
2,41.83073036071429,12.472888996428573,0.4028060031383373,280,49.642857142857146,50.35714285714285,31.0
3,41.82250279936306,12.478083949044589,0.451850387862318,314,47.13375796178344,52.86624203821656,34.0
4,41.93134035924007,12.519139210708117,0.4374145197894975,580,47.93103448275862,52.06896551724138,42.0
5,41.86513927910448,12.467325795522388,0.3768196276399049,670,49.1044776119403,50.8955223880597,20.0
6,41.92455302559055,12.48208626968504,0.457804983984894,508,48.031496062992126,51.96850393700787,36.0
7,41.9216443988764,12.494996756554308,0.449361085527431,542,46.309963099631,53.69003690036901,67.0
8,41.93605092074199,12.467409890387858,0.312457294109243,593,51.264755480607086,48.735244519392914,17.0
9,41.945862855477856,12.467240986013984,0.4926684701190553,429,47.55244755244755,52.44755244755245,56.0
10,41.88251359723965,12.486746340025094,0.362636954465517,797,49.56085319949812,50.439146800501874,35.0
11,41.85911782092556,12.498262432595574,0.5515719598827049,497,47.48490945674044,52.51509054325956,36.0
12,41.89720159023354,12.45049583014862,0.4716398001857666,471,49.04458598726114,50.955414012738856,34.0
13,41.88009002956989,12.50219234408602,0.2505074052523108,372,53.494623655913976,46.50537634408602,31.0
14,41.88207333646616,12.51259695112782,0.2354059267195718,1597,50.4070131496556,49.5929868503444,40.0
15,41.87727156336088,12.5080086446281,0.2639893801103662,725,50.75862068965517,49.24137931034483,36.0
16,41.87475744606414,12.51392070845481,0.2715789158840654,343,46.647230320699705,53.352769679300295,45.0
17,41.91093089306359,12.467320326589595,0.2476582169813556,344,51.74418604651163,48.25581395348838,20.0
18,41.91186269815951,12.475493840490795,0.2205776731460758,815,52.760736196319016,47.23926380368098,24.0
19,41.90666490049751,12.472269708126037,0.2547488597036021,605,47.76859504132232,52.231404958677686,26.0
20,41.85615941689373,12.483832092643052,0.2461888401176314,367,47.68392370572207,52.31607629427793,17.0
21,41.8558588478836,12.477061247354497,0.3905349203139844,756,51.98412698412699,48.01587301587302,17.0
22,41.91936977165354,12.52246551968504,0.2593181155991131,254,47.24409448818898,52.75590551181102,49.0
23,41.9120199296875,12.5213437828125,0.3735955184547737,640,50.78125,49.21875,38.0
24,41.88550976061121,12.472062903225806,0.2062888856427054,589,52.80135823429541,47.198641765704586,30.0
25,41.89058069827586,12.47306526724138,0.2302881215777793,698,51.00286532951289,48.99713467048711,6.0
26,41.88807317979452,12.467868029109589,0.2684963312447895,582,44.329896907216494,55.67010309278351,44.0
27,41.89308295145631,12.492665799352752,0.2459844326036511,927,51.56418554476807,48.43581445523193,50.0
28,41.89583391115703,12.488447378099174,0.2888608384640422,484,56.40495867768595,43.595041322314046,49.0
29,41.889089063593005,12.495808362480128,0.1893091246358832,629,45.46899841017488,54.53100158982512,39.0
30,41.88235385399449,12.455440661157024,0.2345001863896539,364,47.25274725274725,52.74725274725275,77.0
31,41.87837283472057,12.459264141498217,0.1637028242942846,841,51.60523186682521,48.39476813317479,51.0
