estacion,patinetes_iniciales,slots
0,35,47
1,19,31
2,17,29
3,16,34
4,4,12
5,18,36
6,35,42
7,11,23
8,12,53
9,27,33
10,15,17
11,24,28
12,8,11
13,3,11
14,3,12
15,5,18
16,18,18
17,7,17
18,23,31
19,12,20
20,5,35
21,21,40
22,16,24
23,6,20
24,18,30
25,9,20
26,4,25
27,28,28
28,14,49
29,38,38
30,17,28
31,7,12
32,19,29
33,23,33
34,3,32
35,10,26
36,32,47
37,16,19
38,6,25
39,7,14
