estacion,patinetes_iniciales,slots
0,15,23
1,8,20
2,10,15
3,9,16
4,5,11
5,13,28
6,15,28
7,11,18
8,13,24
9,9,14
10,7,12
11,8,12
12,5,9
13,4,9
14,3,7
15,5,12
16,9,14
17,7,13
18,14,26
19,7,10
20,4,14
21,10,18
22,6,10
23,4,10
24,14,25
25,4,11
26,5,15
27,16,21
28,7,24
29,16,23
30,14,23
31,6,11
32,12,20
33,13,21
34,6,16
35,7,14
36,18,29
37,9,13
38,9,15
39,7,11
